Code,Product Name,Unit,Current Stock,Sales Scheme Deal,Sales Scheme Free,Purch Scheme Deal,Purch Scheme Free
it10759,NEXOVAS TM50 TAB 1*10,PCS,0,0,0,0,0
it8163,NEXPRO 20 TAB 1X10,PCS,15,0,0,0,0
it7514,NEXPRO 40 TAB 1X15,PCS,51,0,0,0,0
it8999,NEXPRO FAST 40 1*10,PCS,30,0,0,0,0
it9235,NEXPRO IT CAP 1*10,PCS,40,0,0,0,0
it8326,NEXPRO L CAP 1X10,PCS,10,0,0,0,0
it8131,NEXPRO RD 20 CAP 1X10,PCS,7,0,0,0,0
it7515,NEXPRO RD 40 CAP 1X10,PCS,187,0,0,0,0
it10846,NEXTOP 25 TAB 1*10,PCS,0,0,0,0,0
it8277,NICARDIA CD RET 30MG TAB 15*10,PCS,35,0,0,0,0
it8275,NICARDIA RET 10MG TAB 1*30,PCS,44,0,0,0,0
it8276,NICARDIA RET 20MG TAB 10X1,PCS,96,0,0,0,0
it8284,NICARDIA XL 30MG TAB 1X10,PCS,45,0,0,0,0
it9207,NICARDIA XL 60 TAB 1*10,PCS,22,0,0,0,0
it7516,NIKORAN 10 TAB 1X20,PCS,12,0,0,0,0
it8221,NIKORAN 5 TAB 1X20,PCS,43,0,0,0,0
it8757,NIKORAN OD 10 1,PCS,1,0,0,0,0
it10191,NINDANIB 100 TAB 1*10,PCS,0,0,0,0,0
0000646,NINDANIB 150 TAB 1*10,PCS,3,0,0,0,0
it8358,NOR METROGYL O SUS 60ML 1X60ML,PCS,0,0,0,0,0
it7923,NORMET SUSP 60ML,PCS,13,0,0,0,0
it10498,NORMET TABLET 1*10,PCS,0,0,0,0,0
it7518,NRZEE POWDER 1X105GM,PCS,0,0,0,10,1
it8213,NSA-10 TAB 1X10,PCS,13,0,0,10,3
it8611,NSA-5TAB 1*10,PCS,8,0,0,10,3
it8644,NSA-M TAB 1*10,PCS,0,0,0,5,1
it8521,NUCOXIA 120 TAB 15*10,PCS,15,0,0,0,0
it8522,NUCOXIA 60 TAB 15X10,PCS,43,0,0,0,0
it8523,NUCOXIA 90 TAB 15*10,PCS,22,0,0,0,0
it8524,NUCOXIA D3 CAP 10X10,PCS,10,0,0,0,0
it8525,NUCOXIA MR TAB 12X10,PCS,59,0,0,0,0
it8526,NUCOXIA P TAB 1X10,PCS,163,0,0,0,0
it8509,NUCOXIA SP TAB 10x10,PCS,15,0,0,0,0
it10312,NUCOXIA XP 120 MG TAB 1*5,PCS,23,0,0,0,0
it7519,NUKAST-10 TAB 1X10,PCS,0,0,0,10,1
it9312,NUPENTA 40 TAB 1*10,PCS,30,0,0,0,0
0000594,NUPENTA 80 TAB 1*10,PCS,4,0,0,0,0
it9379,NUPENTA CP CAP 1*10,PCS,1,0,0,0,0
it9313,NUPENTA DSR TAB 1*15,PCS,11,0,0,0,0
it9367,NUPENTA IV VIAL,PCS,165,1,2,0,0
it10767,NUPENTA JR TAB 15*10,PCS,15,0,0,0,0
it9774,NUPENTA LS TAB 1*10,PCS,4,0,0,0,0
it10480,NUTRIFLAX CAPSULES 1*10,PCS,0,0,0,5,1
it10516,NUTRIFLAX-GOLD CAP 1*10,PCS,0,0,0,5,1
it10481,NUTRIFLAX-PB CAPSULES 1*10,PCS,0,0,0,5,1
it9713,OCANASH 10 TAB 1*10,PCS,0,0,0,0,0
it9712,OCANASH 5 TAB 1*10,PCS,0,0,0,0,0
it8528,OCID DSR CAP 15X10,PCS,0,0,0,26,4
it8510,OCID L CAP 10X10,PCS,0,0,0,9,1
it8527,OCID-20 CAP 1X15,PCS,0,0,0,26,4
it8529,OCID-D CAP 15X10,PCS,0,0,0,2,1
it8737,OCTENOXA GARGALE 60ML,PCS,8,9,1,23,2
it9693,OCTENOXA GEL 20GM,PCS,0,0,0,0,0
0000316,OCUVIR 200 DT TAB 5*10,PCS,28,0,0,0,0
0000317,OCUVIR 400 DT TAB 5*5,PCS,37,0,0,0,0
0000318,OCUVIR 800 DT TAB 5*5,PCS,6,0,0,0,0
0000573,OCUVIR EYE OINT 5GM,PCS,3,0,0,0,0
0000319,OCUVIR SKIN CRM 10GM,PCS,13,0,0,0,0
0000460,OCUVIR SR 1.2 TAB 5*3,PCS,15,0,0,0,0
it10399,ODIMONT LC TABLET 1*15,PCS,0,0,0,0,0
it8811,OF M DS SUSP 1*60ML,PCS,88,0,0,0,0
it8309,OF M SUSP 1X60ML,PCS,0,0,0,10,3
it8130,OFCONRE OZ TAB 1X10,PCS,208,0,0,0,0
it7521,OFFICE 100 TAB 1X10,PCS,7,0,0,0,0
it7522,OFFICE 200 TAB 1X10,PCS,659,4,1,0,0
it7523,OFFICE 50 DRY SYP 1X30ML,PCS,0,0,0,0,0
it10026,OFFICE M SUSP 60ML,PCS,0,0,0,0,0
